,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,5.9,3.0,4.2,1.5
1,5.8,2.6,4.0,1.2
2,6.8,3.0,5.5,2.1
3,4.7,3.2,1.3,0.2
4,6.9,3.1,5.1,2.3
5,5.0,3.5,1.6,0.6
6,5.4,3.7,1.5,0.2
7,5.0,2.0,3.5,1.0
8,6.5,3.0,5.5,1.8
9,6.7,3.3,5.7,2.5
10,6.0,2.2,5.0,1.5
11,6.7,2.5,5.8,1.8
12,5.6,2.5,3.9,1.1
13,7.7,3.0,6.1,2.3
14,6.3,3.3,4.7,1.6
15,5.5,2.4,3.8,1.1
16,6.3,2.7,4.9,1.8
17,6.3,2.8,5.1,1.5
18,4.9,2.5,4.5,1.7
19,6.3,2.5,5.0,1.9
20,7.0,3.2,4.7,1.4
21,6.5,3.0,5.2,2.0
22,6.0,3.4,4.5,1.6
23,4.8,3.1,1.6,0.2
24,5.8,2.7,5.1,1.9
25,5.6,2.7,4.2,1.3
26,5.6,2.9,3.6,1.3
27,5.5,2.5,4.0,1.3
28,6.1,3.0,4.6,1.4
29,7.2,3.2,6.0,1.8
30,5.3,3.7,1.5,0.2
31,4.3,3.0,1.1,0.1
32,6.4,2.7,5.3,1.9
33,5.7,3.0,4.2,1.2
34,5.4,3.4,1.7,0.2
35,5.7,4.4,1.5,0.4
36,6.9,3.1,4.9,1.5
37,4.6,3.1,1.5,0.2
38,5.9,3.0,5.1,1.8
39,5.1,2.5,3.0,1.1
40,4.6,3.4,1.4,0.3
41,6.2,2.2,4.5,1.5
42,7.2,3.6,6.1,2.5
43,5.7,2.9,4.2,1.3
44,4.8,3.0,1.4,0.1
45,7.1,3.0,5.9,2.1
46,6.9,3.2,5.7,2.3
47,6.5,3.0,5.8,2.2
48,6.4,2.8,5.6,2.1
49,5.1,3.8,1.6,0.2
50,4.8,3.4,1.6,0.2
51,6.5,3.2,5.1,2.0
52,6.7,3.3,5.7,2.1
53,4.5,2.3,1.3,0.3
54,6.2,3.4,5.4,2.3
55,4.9,3.0,1.4,0.2
56,5.7,2.5,5.0,2.0
57,6.9,3.1,5.4,2.1
58,4.4,3.2,1.3,0.2
59,5.0,3.6,1.4,0.2
60,7.2,3.0,5.8,1.6
61,5.1,3.5,1.4,0.3
62,4.4,3.0,1.3,0.2
63,5.4,3.9,1.7,0.4
64,5.5,2.3,4.0,1.3
65,6.8,3.2,5.9,2.3
66,7.6,3.0,6.6,2.1
67,5.1,3.5,1.4,0.2
68,4.9,3.1,1.5,0.2
69,5.2,3.4,1.4,0.2
70,5.7,2.8,4.5,1.3
71,6.6,3.0,4.4,1.4
72,5.0,3.2,1.2,0.2
73,5.1,3.3,1.7,0.5
74,6.4,2.9,4.3,1.3
75,5.4,3.4,1.5,0.4
76,7.7,2.6,6.9,2.3
77,4.9,2.4,3.3,1.0
78,7.9,3.8,6.4,2.0
79,6.7,3.1,4.4,1.4
80,5.2,4.1,1.5,0.1
81,6.0,3.0,4.8,1.8
82,5.8,4.0,1.2,0.2
83,7.7,2.8,6.7,2.0
84,5.1,3.8,1.5,0.3
85,4.7,3.2,1.6,0.2
86,7.4,2.8,6.1,1.9
87,5.0,3.3,1.4,0.2
88,6.3,3.4,5.6,2.4
89,5.7,2.8,4.1,1.3
90,5.8,2.7,3.9,1.2
91,5.7,2.6,3.5,1.0
92,6.4,3.2,5.3,2.3
93,6.7,3.0,5.2,2.3
94,6.3,2.5,4.9,1.5
95,6.7,3.0,5.0,1.7
96,5.0,3.0,1.6,0.2
97,5.5,2.4,3.7,1.0
98,6.7,3.1,5.6,2.4
99,5.8,2.7,5.1,1.9
100,5.1,3.4,1.5,0.2
101,6.6,2.9,4.6,1.3
102,5.6,3.0,4.1,1.3
103,5.9,3.2,4.8,1.8
104,6.3,2.3,4.4,1.3
105,5.5,3.5,1.3,0.2
106,5.1,3.7,1.5,0.4
107,4.9,3.1,1.5,0.1
108,6.3,2.9,5.6,1.8
109,5.8,2.7,4.1,1.0
110,7.7,3.8,6.7,2.2
111,4.6,3.2,1.4,0.2
